id,x,y,productionLine,description,solution,status,image,imageAfter,zone,createdAt,is_deleted,updatedAt,pic,category,factory,inspectionType
15,556,1038,"Relax zone",การจัดเก็บเก้าอี้ไม่เป็นระเบียบ,จัดเก็บเก้าอี้ให้เป็นระเบียบ,Closed,http://localhost:8080/5SRedTag/uploads/6a3204d485b2a.jpg,http://localhost:8080/5SRedTag/uploads/6a320516c181c.jpg,"Relax zone near staff room 2nd floor","17/6/2026 9:22",1,"17/6/2026 15:00",Kridsada,"Seiton (สะดวก)","2nd Floor",5S
16,636,436,MT5252,ไม่เก็บโต๊ะ,เก็บโต๊ะเข้าที่,Closed,http://localhost:8080/5SRedTag/uploads/6a334d01a4b85.jpg,http://localhost:8080/5SRedTag/uploads/6a334d4e432bb.jpg,"Staff Area","18/6/2026 8:42",1,"24/6/2026 15:33",Kridsada,"Seiri (สะสาง)","2nd Floor",5S
17,439.2381592,1012.552491,MT5252,ีนนนรน,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3b5672a4a46.jpg,,"Staff Area","24/6/2026 11:01",1,"24/6/2026 15:32",,"Shitsuke (สร้างนิสัย)","2nd Floor",5S
18,362.666687,1037.782048,"Big cleaning day",test,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3b78340611f.jpg,,"JCS Area","24/6/2026 13:25",1,"24/6/2026 15:32",,"Shitsuke (สร้างนิสัย)","1st Floor",5S
19,502,1582,โต๊ะพี่ปรียา,ถอดถุงมือวางไว้บนโต๊ะ,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3b96a7e07c2.jpg,,"Staff zone 1st floor,Meeting room 1,Storage room under the stairs,Restroom on the east side,Relax room 1st floor","24/6/2026 15:35",1,"26/6/2026 16:10",,"Shitsuke (สร้างนิสัย)","1st Floor",5S
20,561.333374,1107.579589,Mt5252,"(Big cleaning)",Test,Closed,http://10.51.15.37:8080/5SRedTag/uploads/6a3e4299bbaeb.jpg,http://10.51.15.37:8080/5SRedTag/uploads/6a3e42a275be6.jpg,"Staff Area","25/6/2026 11:14",1,"2026-07-02 13:10:31",Prem,"Seiri (สะสาง)","2nd Floor",F10-11
21,643.1294466,1251.8297,MT5252,ไม่ทำความสะอาด,ทำความสะอาด,Closed,http://10.51.15.98:8080/5SRedTag/uploads/6a3cc0ba48e37.jpg,http://10.51.15.98:8080/5SRedTag/uploads/6a3cc132c6b81.jpg,"Staff Area","25/6/2026 12:47",1,"2026-07-02 13:11:10",Kridsada,"Seiri (สะสาง)","2nd Floor",F10-11
22,208,1512,ท้ายไลน์3M08,สภาพ5Sไม่ดี,,Open,http://10.51.15.98:8080/5SRedTag/uploads/6a3cce034c349.jpg,,"3M08 + SA9","25/6/2026 13:44",1,"26/6/2026 16:10",Sakun+Sirinya,"Seiri (สะสาง)","1st Floor",5S
23,663,1253.071527,โต๊ะพี่นุ้ย,ไม่สะอาด,Gjjgcgjk,Closed,http://192.168.103.16:8080/5SRedTag/uploads/6a44626ac55fd.jpg,http://192.168.103.16:8080/5SRedTag/uploads/6a44641eddf93.jpg,"Staff Area","1/7/2026 7:44",1,"2026-07-02 13:10:54",Gjvhj,"Seiton (สะดวก)","2nd Floor",F10-11
24,644.333313,224.0871259,SA-X27," ไม่ได้สถานะที่ชัดเจนว่าเป็นทางเดินล้อ",,Open,http://192.168.103.16:8080/5SRedTag/uploads/6a4466914f97b.jpg,,SA517-SA-X27,"1/7/2026 8:01",0,"2026-07-02 08:30:39",สุพรรณี,Low,"2nd Floor",Safety
25,533,145.2385205,"Relax zone","ประตูสถานะไม่ชัดเจน(ให้เปิดปิดตลอด แต่ประตูเปิดไว้)",,Open,http://192.168.103.16:8080/5SRedTag/uploads/6a4468d6b20fd.jpg,,"Relax zone font 2nd floor","1/7/2026 8:10",0,"2026-07-02 08:30:45",สุพรรณี,Low,"2nd Floor",Safety
26,460,224.9357312," Relax zone"," สถานะไม่ชัดเจน(บางครั้งยังล้อผ่าน)",,Open,http://192.168.103.16:8080/5SRedTag/uploads/6a44695ca4ed5.jpg,,"Relax zone font 2nd floor","1/7/2026 8:27",0,"2026-07-02 08:30:56",สุพรรณี,Low,"2nd Floor",Safety
27,650,674,"n hnyh",mfujmy,,Open,http://localhost:8080/MT5200%20Patrol/uploads/6a44934837411.jpg,,"QC incoming","1/7/2026 11:11",1,"2026-07-02 08:30:09",,,"1st Floor",F10-11
28,616,950.1377755,etfr,rvrr,,Open,http://localhost:8080/MT5200%20Patrol/uploads/6a44bd98039b9.jpg,,"QC incoming","1/7/2026 14:11",1,"2026-07-02 13:09:35",,"Seiri (สะสาง)","1st Floor",F10-11
29,572,849.9527559,vrtvr,rtr,,Open,http://localhost:8080/MT5200%20Patrol/uploads/6a44bdb990f38.jpg,,"QC incoming","1/7/2026 14:12",1,"2026-07-02 08:30:18",,,"1st Floor",F10-11
30,568,572,MT5252,ืทีรท,้ึุุ้้่่,Closed,http://localhost:8080/MT5200%20Patrol/uploads/6a44c8f95f7fb.jpg,http://localhost:8080/MT5200%20Patrol/uploads/6a44d27fef6a7.jpg,"QC incoming","1/7/2026 14:59",1,"2026-07-02 08:30:25",่ึ่านรม,,"1st Floor",F10-11
31,650,430,Test,Test,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a45bf0136a43.jpg,,"QC incoming","2026-07-02 08:29:43",1,"2026-07-02 13:09:40",,Low,"1st Floor",F10-11
32,542,600,Test,Test,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a46091cc681c.png,,TX-OQC,"2026-07-02 13:45:57",1,"2026-07-02 14:29:42",,Low,"2nd Floor",5S
33,187.33325195312,1717.3333740234,,พนักงานใช้เท้าสวมรองเท้าโดยตรงที่ชั้นวาง,ทำป้ายเตือนและประชาสัมพันธ์ให้พนักงานทุกคนทราบ,Closed,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a46120d365d8.jpg,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a46125139517.jpg,"Staff zone 1st floor,Meeting room 1,Storage room under the stairs,Restroom on the east side,Relax room 1st floor","2026-07-02 14:25:44",0,"2026-07-02 14:26:02",รุ่งนภา,Low,"1st Floor",Safety
34,539.25,600.6875,Test,Test,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461321ae948.png,,TX-OQC,"2026-07-02 14:28:51",1,"2026-07-02 14:29:50",,"Seiri (สะสาง)","2nd Floor",5S
35,500.66650390625,865.71643639105,,ไม่มีลูกศรบ่งบอกเส้นทางเดินไม่ชัดเจน,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a4613cb8d723.jpg,,"Workshop room","2026-07-02 14:33:36",0,,ยาใจ,Medium,"1st Floor",Safety
36,454.66650390625,773.75480637678,,เก้าอี้นั่งพักเลยขอบเส้นขาว,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461498a39a5.jpg,,"Workshop room","2026-07-02 14:36:10",0,"2026-07-02 14:37:10",ยาใจ,Low,"1st Floor",Safety
37,293.66668701172,142.66665649414,ล็อกเกอร์ด้านนอก,มุมอับ,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a4616fb2e4fb.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 14:45:47",0,,รุ่งนภา,Medium,"1st Floor",Safety
38,302.66668701172,83.666656494141,ล็อกเกอร์ด้านนอก,แผ่นสโลปเสี่ยงต่อการใช้งานเพราะมีการขนย้ายตลอดเวลา,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a46179cd1574.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 14:49:03",0,,รุ่งนภา,Medium,"1st Floor",Safety
39,210,128,ล็อกเกอร์ด้านนอก,มุมอับ(เปิดล็อกเกอร์ชนเพื่อน),,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a4618abae8ec.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 14:53:47",0,,รุ่งนภา,Medium,"1st Floor",Safety
40,90.666625976562,159.33331298828,ทางเดินล็อกเกอร์ด้านนอก,ทางเดินเข้าออกประตูแต่สถานะแจ้งเฉพาะเป็นทางเข้า,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a46197fad72a.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 14:58:09",0,,รุ่งนภา,Medium,"1st Floor",Safety
41,88.25,188.875,,"เวลาพนักงานที่ยืนใส่หมวก มีโอกาสที่ประตูจะจะชนได้",,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a4619c91feed.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 14:58:20",0,"2026-07-02 15:21:47",รุ่งนภา,Low,"1st Floor",Safety
42,328,177,ทางออกล็อกเกอร์รองเท้า,ไม่ได้ระบุสถานะประตู,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461a93d8781.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 15:01:37",0,,รุ่งนภา,Medium,"1st Floor",Safety
43,254,217.57714684838,,เส้นทางกำหนดมีเส้นเดียว,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461b0b362fe.jpg,,"Outside lockers,reception room,in front of the reception room,restroom and the stair on the west side,Walkway","2026-07-02 15:03:11",0,,รุ่งนภา,Medium,"1st Floor",Safety
44,71.418977326221,500.47848445337,,ล้อจอดเลยเส้นขาวทางเดิน,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461b3738e2e.jpg,,Tokairika&Marelli,"2026-07-02 15:03:51",0,,,Medium,"2nd Floor",Safety
45,78.105032788055,636.27353221188,,ไลน์การผลิตเลยออกมานอกเส้นทางเดินล้อ,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461bd6c6a5c.jpg,,Tokairika&Marelli,"2026-07-02 15:06:31",0,,อนุธิดา,Medium,"2nd Floor",Safety
46,82.1066139268,806.27596980344,,ล้อคอมเลยออกมาเส้นทางเดิน,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461c3e54b6a.jpg,,Tokairika&Marelli,"2026-07-02 15:08:03",0,,อนุธิดา,Medium,"2nd Floor",Safety
47,293.33337402344,1141.3333740234,,"ชิ้นส่วนรอSet Upวางขวางทางเดิน",,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461d1caf9fe.jpg,,"TX Maintenance","2026-07-02 15:12:21",0,"2026-07-02 15:22:52",,Medium,"2nd Floor",Safety
48,78.114450845564,925.21973502617,,"ชิ้นส่วนSet Up วางออกนอกทางเดิน",,"Need help",http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461da1e0c57.jpg,,"TX Maintenance","2026-07-02 15:14:12",0,"2026-07-02 15:18:14",อนุธิดา,Low,"2nd Floor",Safety
49,103.18486910198,1003.6325480974,"TX Maintenance","ชิ้นส่วนSet Upเลยออกนอกทางเดิน",,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a461e2db300e.jpg,,"TX Maintenance","2026-07-02 15:16:15",0,,อนุธิดา,Medium,"2nd Floor",Safety
50,373.5,1552.5338285759,"โต๊ะวาง NC SA ","รางสไลด์ของบานประตูเลื่อนปิดเปิด ไม่มีจุกปิด เสี่ยงบาดแขน และ มือ พนักงาน
","ติดจุกปิดรางสไลด์ของบานประตูเลื่อนทั้งหมด 6 จุด ป้องกัน",Closed,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a471debb8d5c.png,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a471e16e27f3.png,"3M08 + SA9","2026-07-03 09:27:54",0,,Preeya,High,"1st Floor",Safety
51,516,896.65546350596,,Test,,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a474b2098edc.jpg,,TX-OQC,"2026-07-03 12:40:02",1,"2026-07-03 12:41:16",,"Seiri (สะสาง)","2nd Floor",5S
52,410.41010519825,1422,,"QR MONI เคลือบติดพื้นเมื่อผ่านการใช้งาน มีการงอขึ้น อาจทำให้พนักงานเดินสดุดได้",,Open,http://192.168.103.16:8080/MT5200%20Patrol/uploads/6a4758ec058f6.jpg,,"3M08 + SA9","2026-07-03 13:40:38",0,,รัตติกาล,Medium,"1st Floor",Safety
53,574.31731603328,548,,Test,Test,Closed,http://192.168.103.16:8080/MT5200%20Patrol1/uploads/6a488608abb5d.jpg,http://192.168.103.16:8080/MT5200%20Patrol1/uploads/6a48864698584.jpg,TX-OQC,"2026-07-04 11:03:29",1,"2026-07-04 11:04:51",Kridsada,"Seiri (สะสาง)","2nd Floor",5S
54,484.36886556937,418,Test,Test,,Open,http://192.168.103.16:8080/MT5200%20Patrol1/uploads/6a4886dfc1b26.jpg,,"Relax zone font 2nd floor","2026-07-04 11:07:08",1,"2026-07-04 11:07:56",,"Seiri (สะสาง)","2nd Floor",5S
55,628,606,,วร้น,ะำหะ,Closed,http://192.168.103.16:8080/MT5200%20Patrol1/uploads/6a4889e91b5e7.jpg,http://192.168.103.16:8080/MT5200%20Patrol1/uploads/6a488b62e5ca1.jpg,TX-OQC,"2026-07-04 11:20:01",0,"2026-07-04 11:31:06",ก่ีา่ัี,"Seiri (สะสาง)","2nd Floor",5S
56,622,940,,่ะัก่,,Open,http://192.168.103.16:8080/MT5200%20Patrol1/uploads/6a488ca7cc029.jpg,,TX-OQC,"2026-07-04 11:31:41",0,,,"Seiri (สะสาง)","2nd Floor",5S
